form,ingr,month,revenue
Softgels,Cayenne,may,0.0
Tablets,Cayenne,may,0.044084
Capsules,Cayenne,may,0.836043
Powder,Cayenne,may,0.449947
Other,Cayenne,may,0.003506
Gummy,Citrulline,may,0.0
Softgels,Citrulline,may,0.0
Tablets,Citrulline,may,0.088237
Capsules,Citrulline,may,0.221596
Powder,Citrulline,may,1.596101
Other,Citrulline,may,0.0
Gummy,VitaminD,may,8.46741438
Softgels,VitaminD,may,4.35589281
Tablets,VitaminD,may,5.338826622857142
Capsules,VitaminD,may,10.644307
Powder,VitaminD,may,0.66487205
Other,VitaminD,may,0.060477
Gummy,Iron,may,0.421395
Softgels,Iron,may,0.548819
Tablets,Iron,may,2.90668
Capsules,Iron,may,6.581636
Powder,Iron,may,0.002328
Other,Iron,may,0.106732
Gummy,Iodine,may,0.4016
Softgels,Iodine,may,0.164903
Tablets,Iodine,may,1.186816
Capsules,Iodine,may,1.646873
Powder,Iodine,may,0.009089
Other,Iodine,may,0.063832156
Gummy,StJohns_Wort,may,0.0
Softgels,StJohns_Wort,may,0.0
Tablets,StJohns_Wort,may,0.002246
Capsules,StJohns_Wort,may,0.469163
Powder,StJohns_Wort,may,0.0
Other,StJohns_Wort,may,0.008655
Gummy,Calcium,may,1.076733
Softgels,Calcium,may,0.817623
Tablets,Calcium,may,4.7105364000000005
Capsules,Calcium,may,5.990918
Powder,Calcium,may,2.430545
Other,Calcium,may,0.029467
Gummy,Caffeine,may,0.134318
Softgels,Caffeine,may,0.015235
Tablets,Caffeine,may,0.604418
Capsules,Caffeine,may,2.322467
Powder,Caffeine,may,1.507623
Other,Caffeine,may,0.03418
Gummy,Horny Goat,may,0.0
Softgels,Horny Goat,may,0.0
Tablets,Horny Goat,may,0.001072
Capsules,Horny Goat,may,0.739568
Powder,Horny Goat,may,0.27489
Other,Horny Goat,may,0.012573
Gummy,Charcoal,may,0.0
Softgels,Charcoal,may,0.0
Tablets,Charcoal,may,0.004613
Capsules,Charcoal,may,0.467546
Powder,Charcoal,may,0.028299
Other,Charcoal,may,0.0
Gummy,5HTP,may,0.038255
Softgels,5HTP,may,0.007687
Tablets,5HTP,may,0.146862
Capsules,5HTP,may,1.466256
Powder,5HTP,may,0.001914
Other,5HTP,may,0.015252
Gummy,Valerian,may,0.050129
Softgels,Valerian,may,0.0
Tablets,Valerian,may,0.722265
Capsules,Valerian,may,0.541885
Powder,Valerian,may,0.005405
Other,Valerian,may,0.015252
Gummy,Lavender,may,0.0
Softgels,Lavender,may,0.0
Tablets,Lavender,may,0.726766
Capsules,Lavender,may,0.014603
Powder,Lavender,may,0.205738
Other,Lavender,may,0.0
Gummy,Ginger,may,0.814945
Softgels,Ginger,may,0.070675
Tablets,Ginger,may,1.056126
Capsules,Ginger,may,4.272927508571429
Powder,Ginger,may,0.5855079125
Other,Ginger,may,0.021547
Gummy,Ginseng,may,0.340172
Softgels,Ginseng,may,0.03818
Tablets,Ginseng,may,0.481259
Capsules,Ginseng,may,2.71934619
Powder,Ginseng,may,1.098612
Other,Ginseng,may,0.060956
Gummy,Chamomile,may,0.027727
Softgels,Chamomile,may,0.0
Tablets,Chamomile,may,0.101807
Capsules,Chamomile,may,0.23992866142857144
Powder,Chamomile,may,0.006687
Other,Chamomile,may,0.0036
Gummy,Quercetin,may,0.0
Softgels,Quercetin,may,0.0
Tablets,Quercetin,may,0.133598
Capsules,Quercetin,may,1.985615
Powder,Quercetin,may,0.245837
Other,Quercetin,may,0.014664
Gummy,Bromelain,may,0.0
Softgels,Bromelain,may,0.0
Tablets,Bromelain,may,0.538424
Capsules,Bromelain,may,2.055248
Powder,Bromelain,may,0.104142
Other,Bromelain,may,0.012592
Gummy,VitaminC,may,11.182653
Softgels,VitaminC,may,2.272947
Tablets,VitaminC,may,5.848151
Capsules,VitaminC,may,16.211102
Powder,VitaminC,may,3.9022060499999998
Other,VitaminC,may,0.560102
Gummy,VitaminA,may,1.47913
Softgels,VitaminA,may,0.680508
Tablets,VitaminA,may,1.294699
Capsules,VitaminA,may,2.253787
Powder,VitaminA,may,0.162587
Other,VitaminA,may,0.030538
Gummy,B1,may,0.043259
Softgels,B1,may,0.0
Tablets,B1,may,0.91064026
Capsules,B1,may,2.4479999725000003
Powder,B1,may,0.057863
Other,B1,may,0.056027
Gummy,VitaminE,may,2.620834
Softgels,VitaminE,may,4.3245892999999995
Tablets,VitaminE,may,2.38515
Capsules,VitaminE,may,5.964651
Powder,VitaminE,may,0.395411
Other,VitaminE,may,0.066727
Gummy,Choline,may,0.207637
Softgels,Choline,may,0.385469
Tablets,Choline,may,1.683164
Capsules,Choline,may,2.836674
Powder,Choline,may,0.582787
Other,Choline,may,0.003544
Gummy,Alpha GPC,may,0.0
Softgels,Alpha GPC,may,0.0
Tablets,Alpha GPC,may,0.0
Capsules,Alpha GPC,may,1.673752
Powder,Alpha GPC,may,0.246229
Other,Alpha GPC,may,0.006533
Gummy,Black Seed Oil,may,0.011994
Softgels,Black Seed Oil,may,0.54723
Tablets,Black Seed Oil,may,0.0
Capsules,Black Seed Oil,may,0.202988
Powder,Black Seed Oil,may,0.0
Other,Black Seed Oil,may,0.057328
Gummy,Tribulus,may,0.0
Softgels,Tribulus,may,0.0
Tablets,Tribulus,may,0.020619
Capsules,Tribulus,may,0.916981
Powder,Tribulus,may,0.021338
Other,Tribulus,may,0.018214
Gummy,Probiotic,may,3.120066
Softgels,Probiotic,may,0.649766
Tablets,Probiotic,may,1.620407
Capsules,Probiotic,may,27.318289114285715
Powder,Probiotic,may,4.0099431
Other,Probiotic,may,0.025884
Gummy,Prebiotic,may,1.423178
